,S&P500,WML,value_factor
2016-02-22,1.4454197343192787,-1.12,1.41
2016-02-23,-1.2454371626831184,1.07,-0.91
2016-02-24,0.443978665736949,-0.08,0.62
2016-02-25,1.134827518081388,0.36,1.06
2016-02-26,-0.18701143063153722,-1.61,-0.22
2016-02-29,-0.8120976670040306,-0.44,-0.64
2016-03-01,2.3868792264573044,-0.56,2.3
2016-03-02,0.40943084379726846,-1.33,0.03
2016-03-03,0.3498740552965357,-1.62,0.38
2016-03-04,0.3305892405266673,-0.9,0.4
2016-03-07,0.08850144294974127,-1.5,0.16
2016-03-08,-1.1240108648189049,2.86,-0.97
2016-03-09,0.5052393293188396,-0.2,0.39
2016-03-10,0.015580467030042977,0.38,-0.01
2016-03-11,1.6395500477669567,-1.72,1.52
2016-03-14,-0.12609725467921024,0.1,-0.04
2016-03-15,-0.1836941718546818,1.41,-0.2
2016-03-16,0.5600351548705103,-0.78,0.79
2016-03-17,0.6595236427847926,-1.02,0.62
2016-03-18,0.4405643539266504,-0.7,0.3
2016-03-21,0.09855774954502321,-0.13,0.2
2016-03-22,-0.08773878504659463,0.1,-0.08
2016-03-23,-0.6386031655324604,2.15,-0.7
2016-03-24,-0.037807052292406954,-0.03,0.03
2016-03-28,0.05452557698998718,0.43,0.07
2016-03-29,0.8816651809226127,0.19,1.08
2016-03-30,0.4350315062455628,-0.19,0.59
2016-03-31,-0.20397592480187135,-0.55,-0.19
2016-04-01,0.6330915097686663,0.89,0.57
2016-04-04,-0.32083221118300365,0.23,-0.32
2016-04-05,-1.014449245057428,0.1,-0.66
2016-04-06,1.0507619189438844,-0.88,1.0
2016-04-07,-1.1975786560861146,0.67,-1.19
2016-04-08,0.27865782063149414,-0.63,0.33
2016-04-11,-0.2739786123146736,-0.26,-0.31
2016-04-12,0.9662134044055809,-1.24,0.96
2016-04-13,1.0040137017230288,-1.29,0.88
2016-04-14,0.017292717774910475,-0.08,-0.1
2016-04-15,-0.09842849323767663,0.72,-0.05
2016-04-18,0.6541025568343979,-0.07,0.4
2016-04-19,0.308448519751584,-0.92,-0.04
2016-04-20,0.07615446318947447,-1.14,0.05
2016-04-21,-0.5194027068595269,-0.75,-0.61
2016-04-22,0.0047859889148873895,-1.18,0.11
2016-04-25,-0.1812045849864888,1.2,-0.16
2016-04-26,0.1872751534858758,-0.7,0.16
2016-04-27,0.16493527182762052,0.0,-0.18
2016-04-28,-0.9230768157227636,0.51,-1.06
2016-04-29,-0.5063088481738572,0.87,-0.47
2016-05-02,0.7809946553678732,0.98,0.86
2016-05-03,-0.8676638460102445,1.33,-0.79
2016-05-04,-0.5936889314753994,1.22,-0.71
2016-05-05,-0.023900794299546255,0.28,-0.19
2016-05-06,0.31746391945076424,0.57,0.45
2016-05-09,0.07534966412709886,0.9,0.22
2016-05-10,1.2483643839788858,-0.62,1.19
2016-05-11,-0.9561518249023676,0.42,-1.09
2016-05-12,-0.01694651417848691,1.13,-0.11
2016-05-13,-0.8478288992748932,0.37,-0.87
2016-05-16,0.9796652584981903,-0.76,1.06
2016-05-17,-0.9411297372666149,-1.39,-0.94
2016-05-18,0.020517875938566795,-0.28,-0.38
2016-05-19,-0.37067077457677733,0.37,-0.17
2016-05-20,0.6019503914256269,-0.85,0.59
2016-05-23,-0.20854588262009888,-0.32,-0.05
2016-05-24,1.3681382915580749,-0.22,1.33
2016-05-25,0.6974740416216479,-1.36,0.69
2016-05-26,-0.021044370918173544,0.53,0.16
2016-05-27,0.42868573656226977,-0.45,0.35
2016-05-31,-0.10052632800821898,-0.35,-0.07
2016-06-01,0.11350423498972209,0.07,0.1
2016-06-02,0.2824678244809108,-0.41,0.38
2016-06-03,-0.2911814678891068,1.11,-0.08
2016-06-06,0.4897281051188994,-1.21,0.43
2016-06-07,0.12894463918682542,-0.08,0.24
2016-06-08,0.3309566355868269,0.58,0.23
2016-06-09,-0.17177586918261142,1.18,-0.14
2016-06-10,-0.9175181133125201,1.42,-0.88
2016-06-13,-0.8115191023280278,0.35,-0.95
2016-06-14,-0.17988855029992756,0.74,-0.15
2016-06-15,-0.1840712697237789,-0.24,-0.13
2016-06-16,0.31329905865315155,0.44,0.31
2016-06-17,-0.3257965164692659,-0.69,-0.32
2016-06-20,0.5808185112367291,-0.24,0.7
2016-06-21,0.27120614424577516,0.34,0.13
2016-06-22,-0.16515635798043402,0.04,-0.16
2016-06-23,1.3364078570495475,-0.9,1.17
2016-06-24,-3.591979991551379,2.2,-3.3
2016-06-27,-1.809650212020111,2.38,-1.78
2016-06-28,1.7770165208875395,-0.95,1.6
2016-06-29,1.7032672710494527,-0.99,1.63
2016-06-30,1.3565044272758036,0.5,1.28
2016-07-01,0.19486024753912218,-0.63,0.38
2016-07-05,-0.6847477275031026,1.71,-0.6
2016-07-06,0.5352962934909359,-0.09,0.64
2016-07-07,-0.08715777825870533,-0.86,0.18
2016-07-08,1.5253349299217422,-0.67,1.47
2016-07-11,0.34086155847900335,-0.28,0.42
2016-07-12,0.7009293462734553,-1.36,0.56
2016-07-13,0.013476772627251275,0.66,-0.06
2016-07-14,0.5259203949780417,-0.6,0.58
2016-07-15,-0.09289474292316421,-0.06,-0.12
2016-07-18,0.23822952916738127,-0.55,0.26
2016-07-19,-0.14351739837110475,0.4,-0.05
2016-07-20,0.4270300527854589,-1.05,0.44
2016-07-21,-0.36125290737081606,-0.12,-0.47
2016-07-22,0.4553964517894301,0.09,0.37
2016-07-25,-0.30114752038671483,-0.3,-0.08
2016-07-26,0.03227846263076587,-0.38,0.0
